Rank,Name,Company,Volume,Sides,City,State
1,Ben Caballero,"HomesUSA.com, Inc.",$3.67B,7481.5,Dallas,TX
2,Al Hencheck Jr.,HMS Real Estate,$1.22B,"2,638",Cincinnati,OH
3,Christian Angle,Christian Angle Real Estate,$977.79M,51,Palm Beach,FL
4,Jonathan Minerick,homecoin.com,$914.23M,"1,782",San Diego,CA
5,Drew Fenton,Carolwood Estates,$910.00M,22,Beverly Hills,CA
6,David Parnes,Carolwood Estates,$900.00M,70,Beverly Hills,CA
7,Thomas Ullrich,REMAX Professionals,$772.05M,"1,167",Englewood,CO
8,Deborah Kern,Corcoran,$722.00M,75,New York,NY
9,Steven Koleno,Beycome Brokerage Realty,$701.97M,"2,083",South Miami,FL
10,Chris Cortazzo,Compass,$659.22M,52,Malibu,CA
11,Cody Vichinsky,Bespoke Real Estate,$652.62M,31,Water Mill,NY
12,Dina Goldentayer,Douglas Elliman,$531.41M,29,Miami Beach,FL
13,Tracy Campion,Campion and Company,$524.33M,84,Boston,MA
14,Katrina Barrett,Local Luxury Christie's International Real Estate,$512.41M,130,Phoenix,AZ
15,Dana Koch,Corcoran,$492.58M,91,Palm Beach,FL
16,Carrie Wells,Coldwell Banker Mason Morse,$471.59M,33,Aspen,CO
17,Margit Brandt,Premier Estate Properties,$445.66M,20,Palm Beach,FL
18,Ania Bulis,Big Sky Sotheby's International Realty,$445.16M,53.5,Big Sky,MT
19,Ginger Glass,Compass,$424.86M,57,Beverly Hills,CA
20,Chris Resop,The Agency Naples,$423.08M,48,Naples,FL
21,Casey Lesher,Christie's International Real Estate Southern California,$408.82M,89,Corona Del Mar,CA
22,David Roberts,Royal Palm Properties,$408.36M,43,Boca Raton,FL
23,Jena Radnay,@Properties Christie's International Real Estate,$392.34M,48.5,Winnetka,IL
24,Jean Merkelbach,Engel & Völkers Lake Tahoe,$389.89M,39.9,Zephyr Cove,NV
25,Brad Cahill,Real Residential,$389.51M,116,Seattle,WA
26,Linda May,Carolwood Estates,$388.00M,17,Beverly Hills,CA
27,Tomer Fridman,Christie's International Real Estate Southern California,$385.00M,62,Beverly Hills,CA
28,Maggie Gold Seelig,MGS Group Real Estate,$362.72M,51,Boston,MA
29,Danielle Peretz,The Beverly Hills Estates,$350.00M,35,West Hollywood,CA
30,Cindy Ambuehl,Christie's International Real Estate Southern California,$331.92M,35,Los Angeles,CA
31,Keri Nicholas,Parc Agency Corporation,$330.53M,61,Menlo Park,CA
32,Kumara Wilcoxon,Kuper Sotheby's International Realty,$327.47M,36,Austin,TX
33,Stanley Lo,Green Banker,$319.49M,90,Burlingame,CA
34,Serena Boardman,"Sotheby's International Realty, Inc.",$315.97M,35,New York,NY
35,Neal Ward,Compass,$308.20M,38,San Francisco,CA
36,Leslie McElwreath,"Sotheby's International Realty, Inc.",$306.68M,50,Greenwich,CT
37,Cristal Clarke,Berkshire Hathaway HomeServices California Properties,$306.16M,47,Montecito,CA
38,Nelson Gonzalez,Berkshire Hathaway HomeServices EWM Realty,$284.02M,23,Miami,FL
39,Liz Hogan,Compass,$274.68M,63,Miami,FL
40,Robert Dullnig,Kuper Sotheby's International Realty,$272.67M,39.2,San Antonio,TX
41,Suzanne Frisbie,Corcoran,$271.81M,36,Palm Beach,FL
42,Scott Grigg,Grigg's Group powered by The Altman Brothers,$269.73M,116,Phoenix,AZ
43,Susan Breitenbach,Corcoran,$268.98M,34,Southampton,NY
44,Ivan Sher,IS LUXURY,$261.97M,45,Las Vegas,NV
45,Brett Lawyer,Carolwood Estates,$260.00M,21,Beverly Hills,CA
46,Zac Mostame,Carolwood Estates,$258.00M,14,Beverly Hills,CA
47,Cathy Franklin,Corcoran,$254.93M,27.5,New York,NY
48,Tracy McLaughlin,The Agency,$252.52M,37,Larkspur,CA
49,Rex Miller,William Raveis,$251.66M,15,Naples,FL
50,Harald Grant,"Sotheby's International Realty, Inc.",$249.32M,11,Southampton,NY
51,Shana Rohde-Lynch,Compass,$246.06M,61,Tiburon,CA
52,Laura Sweeney,Compass,$242.45M,48,Houston,TX
53,Lea Porter,The Beverly Hills Estates,$240.00M,22,West Hollywood,CA
54,Patrick Dunn,Sea Island Properties,$239.82M,46,St. Simons Island,GA
55,Nicholas French,Christie's International Real Estate Sereno,$235.54M,45,Los Altos,CA
56,Neal Norman,Hawaii Life,$234.40M,28,Hanalei,HI
57,Jeremy Wilson,Keller Williams,$233.71M,482,Jacksonville,FL
58,Matthew Menard,ERA Experts,$233.07M,549,Austin,TX
59,Joshua Peters,Realty ONE Group,$232.56M,35,Scottsdale,AZ
60,Jordan Cohen,REMAX One,$229.37M,45,Westlake Village,CA
61,Ashley Severance,Atlantic Properties of the Lowcountry,$226.98M,83,Daniel Island,SC
62,Bill Ruane,Estate Properties,$226.86M,131,El Segundo,CA
63,Kathy Bridgman,Compass,$223.83M,41,Los Altos,CA
64,Tim Davis,Corcoran,$223.50M,14.4,Southampton,NY
